#1.2
10100	50
NAME	DESCRIPTION	786-0	BT-549	CCRF-CEM	COLO 205	EKVX	HCC-2998	HCT-15	HOP-62	HOP-92	HS 578T	HT29	K-562	KM12	M14	MDA-MB-231/ATCC	MDA-MB-435	NCI-H23	NCI-H322M	NCI-H522	OVCAR-3	OVCAR-5	OVCAR-8	PC-3	RXF-393	SF-268	SF-295	SK-MEL-2	SN12C	SNB-19	SNB-75	SW-620	T-47D	U251	A498	A549/ATCC	ACHN	CAKI-1	HCT-116	LOX IMVI	MALME-3M	MCF7	MOLT-4	NCI-H460	OVCAR-4	SF-539	SK-MEL-5	SR	UACC-257	UACC-62	UO-31
1628_at	na	36.61	45.85	35.15	12.82	27.2	18.27	21.56	34.83	23.03	37.32	21.86	23.73	25.04	17.59	23.25	31.34	18.17	25.66	14.58	33.24	14.51	18.23	44.65	29.55	37.43	24.5	20.81	43.25	33.6	26.52	29.31	16.99	35.03	46.0	46.66	31.74	30.29	18.2	21.23	32.24	28.46	22.57	24.19	36.3	14.74	43.27	23.71	33.16	28.79	42.38
CNIH	na	579.45	1040.13	1049.39	1152.17	1373.83	1252.9	1746.52	1185.72	935.89	779.84	866.04	887.76	1612.98	957.45	1309.06	654.05	963.71	1338.73	904.65	1286.14	1356.81	919.24	1065.16	343.25	751.46	680.6	1054.15	681.36	625.3	688.14	1100.61	1192.75	831.0	320.32	1394.02	530.53	655.88	1172.02	881.81	925.02	977.96	1030.71	1131.31	716.99	773.78	807.23	694.38	685.28	934.32	739.8
MUTYH	na	173.1	242.44	304.81	189.21	124.56	215.03	235.98	161.97	133.2	152.16	174.55	277.13	574.57	212.46	111.34	175.57	283.3	176.4	231.76	225.53	189.35	137.56	162.23	155.85	183.42	120.02	150.71	178.79	155.71	134.8	296.13	135.6	191.7	114.95	130.8	222.52	176.97	211.22	170.38	184.78	188.37	436.25	170.27	172.98	140.79	163.74	128.23	210.3	157.14	154.77
WTAP	na	126.91	243.5	242.75	86.0	113.56	102.42	148.27	98.86	60.92	77.6	57.69	122.37	196.6	64.78	54.53	74.64	109.35	52.21	97.34	47.81	79.94	45.44	111.11	79.88	217.07	148.54	98.64	64.48	117.25	103.6	137.59	59.27	99.41	78.78	79.79	120.86	118.19	135.14	167.08	80.27	138.56	260.43	67.34	69.0	75.76	54.63	137.37	31.71	34.91	227.17
ALPI	na	14.72	15.83	8.38	17.66	6.54	12.54	4.94	8.7	10.15	11.32	9.76	7.09	12.51	8.12	17.76	14.43	7.22	14.1	10.62	17.77	14.26	26.01	18.32	28.67	18.05	9.25	15.85	18.11	14.96	10.15	7.51	11.86	11.19	21.44	11.94	11.67	11.11	5.54	7.77	14.32	13.53	8.4	7.87	8.68	8.28	10.35	10.85	20.18	14.27	9.07
33874_at	na	2.81	3.14	16.44	6.37	10.19	3.44	7.08	3.49	4.53	4.13	3.55	8.28	8.46	4.01	8.34	5.27	2.78	5.14	5.35	5.86	4.84	5.81	4.5	4.21	5.66	4.78	3.88	7.03	5.39	2.93	4.06	3.35	3.31	7.15	6.09	9.4	9.22	11.08	3.9	8.07	21.28	8.75	3.89	7.05	3.3	8.27	11.82	5.07	18.88	4.66
MYT1L	na	11.13	5.71	50.65	16.06	9.27	17.18	6.17	14.75	4.66	8.87	14.83	16.54	11.79	9.06	2.97	9.93	7.4	11.97	5.74	14.14	6.75	4.12	5.15	11.94	14.36	10.54	14.77	15.89	8.39	8.57	10.5	7.57	9.74	16.27	6.09	7.68	15.18	6.65	12.72	15.61	12.47	8.93	7.32	15.32	10.71	13.7	12.46	13.5	12.01	6.44
SH3GL1	na	291.6	180.78	74.34	110.34	276.86	98.06	128.18	114.61	125.63	288.99	75.84	172.4	131.64	157.62	169.27	240.02	190.62	295.56	142.31	129.91	140.08	115.06	192.22	328.73	209.84	362.98	130.91	204.97	262.42	379.42	104.89	86.16	227.87	510.1	55.66	201.21	201.73	145.95	163.49	132.01	99.61	70.56	96.35	90.28	336.99	93.96	60.67	202.74	171.84	209.93
31397_at	na	5.66	15.45	9.81	7.58	11.19	1.79	5.21	4.93	4.14	9.79	3.66	8.12	8.8	10.71	8.28	10.87	12.17	10.76	7.72	13.11	10.12	9.4	8.12	7.84	7.31	6.33	9.85	18.97	11.51	4.55	3.01	8.59	10.58	14.7	6.86	11.51	10.5	3.66	11.33	10.08	6.7	9.91	14.9	7.66	7.01	9.8	7.59	18.44	20.55	10.61
MT	na	166.77	192.42	165.37	235.05	194.32	187.65	203.4	159.85	146.5	84.13	205.82	87.45	193.68	186.76	105.71	203.58	88.71	151.49	144.05	219.18	358.2	191.56	255.57	134.59	142.7	182.15	86.19	138.9	178.93	140.51	215.48	197.62	177.34	148.03	177.71	204.64	170.89	208.8	136.56	144.03	126.85	107.91	168.95	307.92	124.32	312.67	111.65	257.21	230.81	167.72
DEPDC5	na	136.65	105.7	98.76	107.56	100.0	122.92	141.18	105.59	114.82	119.76	108.09	104.2	123.54	98.75	102.24	99.85	108.86	117.69	122.22	119.34	78.3	127.63	103.04	104.64	117.87	86.51	76.07	97.5	129.41	149.4	136.01	102.3	115.31	89.9	89.83	128.62	118.5	103.41	102.67	143.38	96.25	127.78	113.1	156.77	114.28	119.26	96.33	142.81	143.19	89.0
EYA1	na	18.25	16.27	12.3	12.73	2.75	9.09	8.12	16.27	15.95	8.36	7.72	14.68	11.31	6.87	9.4	6.96	19.77	12.93	8.2	12.91	15.58	10.29	5.74	13.19	9.75	37.37	44.77	6.93	11.06	16.68	12.08	15.97	33.8	18.5	11.46	16.62	11.03	10.22	15.14	4.5	12.51	11.25	12.51	11.1	77.86	13.04	8.43	27.95	29.61	12.75
RHOA	na	7959.67	4988.99	5363.32	4617.63	3443.92	2908.92	5422.89	4184.41	4362.72	4682.05	3240.59	2072.19	3500.6	3762.44	4872.23	2710.99	3148.01	2048.03	3184.58	4800.45	2558.01	8347.23	4359.36	5846.86	3156.41	4662.26	5015.74	6274.83	4164.59	5927.25	3806.14	2458.77	2978.57	3595.3	2029.21	5086.06	4977.11	5292.87	2651.07	4596.31	2774.59	3725.02	4456.1	2915.57	4519.1	2781.11	3991.28	2997.42	2287.1	5517.2
GADD45A	na	363.29	665.05	52.41	152.86	90.01	142.54	247.39	243.6	324.68	1179.93	203.56	504.88	403.74	168.48	190.67	91.54	109.99	110.02	84.9	121.54	201.1	400.8	585.76	283.19	598.44	184.61	175.77	197.73	216.29	128.18	777.56	37.92	297.88	333.61	122.09	300.51	155.05	567.46	287.26	98.01	53.88	123.38	176.16	290.48	133.9	70.91	273.3	215.97	179.64	534.98
UBL4	na	25.47	29.32	14.34	17.61	31.51	23.22	7.81	17.94	24.63	15.16	41.3	26.77	25.31	38.61	6.91	13.82	23.72	11.8	26.23	29.94	4.42	45.89	65.69	37.55	8.47	8.22	44.46	11.69	7.92	22.87	24.2	19.76	19.62	46.24	15.92	17.23	33.13	20.38	26.55	17.16	8.13	9.63	35.05	36.94	27.2	12.68	7.05	39.11	25.95	5.27
RGS19	na	88.7	148.39	772.2	151.32	282.72	154.17	123.96	138.98	366.63	148.39	369.29	133.19	174.07	276.11	186.28	272.57	414.82	122.12	315.46	189.3	174.71	199.87	171.82	222.93	174.98	215.22	126.77	166.74	156.06	135.82	270.16	93.98	94.64	349.85	143.36	167.36	296.56	195.62	274.39	184.64	161.3	628.86	117.83	168.13	158.88	170.66	460.01	165.37	105.5	156.49
GABRA6	na	10.03	1.15	2.65	1.61	1.58	1.65	1.5	2.04	1.13	1.51	1.08	4.68	2.18	1.78	1.05	1.5	10.7	2.28	4.95	7.15	1.28	4.88	1.31	4.55	1.37	3.34	6.68	5.08	1.99	3.16	2.2	6.6	1.14	16.66	1.9	1.5	1.79	1.49	2.1	2.56	2.51	2.21	2.33	2.66	2.86	2.55	2.07	2.14	5.19	1.64
APOB	na	15.74	10.36	7.22	7.14	12.37	9.3	11.2	14.39	8.73	19.6	13.29	7.26	8.92	6.2	11.17	6.9	16.03	6.87	9.89	16.23	15.78	5.19	7.02	8.0	7.63	9.65	14.73	19.86	8.0	5.26	6.91	8.65	11.33	10.04	7.59	11.42	11.0	5.47	12.64	26.85	10.52	12.0	12.6	14.02	9.7	22.14	14.23	14.99	20.67	14.29
COL11A2	na	37.22	52.63	36.09	64.56	79.17	59.58	76.56	48.17	87.57	73.26	49.98	34.02	76.75	45.8	64.59	44.76	70.5	84.2	86.69	81.36	55.73	77.58	43.51	38.12	64.14	43.25	66.89	54.55	86.12	53.56	55.27	80.75	55.94	88.66	57.92	42.87	55.2	68.72	49.32	102.72	63.11	71.76	70.5	73.99	73.62	74.48	70.13	58.98	78.46	70.48
GRM2	na	326.44	212.94	197.34	229.22	183.68	173.33	191.26	260.84	231.12	231.47	177.37	204.72	194.31	170.69	176.56	247.71	207.98	250.9	185.2	334.06	242.15	295.24	261.41	241.96	216.33	209.47	175.38	335.13	209.7	213.37	216.41	265.93	196.93	264.05	185.39	250.48	277.44	180.39	184.29	254.29	215.34	214.98	109.65	318.73	260.39	249.57	218.1	297.7	309.54	237.14
SEC24D	na	41.09	34.75	16.4	21.44	36.64	44.32	29.78	49.11	32.75	74.05	31.92	50.8	45.92	23.97	33.64	26.74	18.22	38.0	20.23	10.72	25.16	19.18	21.01	15.81	41.96	39.0	22.03	36.3	33.67	38.4	18.81	29.72	30.75	36.95	24.53	21.52	48.22	32.22	21.34	22.34	24.98	25.94	14.02	18.93	70.8	11.39	29.79	14.77	21.56	41.36
32379_f_at	na	88.69	78.41	13.38	28.89	85.58	23.97	37.26	73.53	29.65	55.07	13.85	21.14	46.87	58.61	66.94	54.96	10.77	34.62	6.47	88.47	64.71	28.27	31.88	73.84	58.75	62.85	33.88	76.29	136.79	33.16	27.18	21.65	50.95	48.11	55.21	77.05	88.41	26.96	60.78	49.54	35.09	65.28	49.0	34.75	26.34	25.5	83.29	41.76	68.12	128.91
CBARA1	na	154.79	238.66	202.33	327.65	219.14	202.12	222.73	287.11	257.39	106.77	152.18	362.25	200.88	215.88	230.69	148.54	283.18	206.7	363.43	145.73	135.58	381.5	148.25	190.4	168.53	200.41	163.8	298.91	300.62	163.1	290.54	216.88	149.33	328.66	335.59	391.06	290.14	112.62	124.21	204.85	315.18	188.11	217.53	241.8	219.67	89.7	160.07	122.54	52.29	222.77
PLIN	na	72.42	47.46	46.56	37.01	36.93	72.49	48.22	59.51	33.43	57.53	73.59	38.7	50.92	45.9	43.13	52.15	42.68	39.86	47.25	55.13	69.2	49.81	49.36	50.31	57.69	29.5	45.48	52.52	65.51	44.12	48.76	54.49	35.03	58.32	58.57	47.71	45.55	46.68	38.74	44.17	67.89	54.51	52.92	48.41	28.45	70.11	41.06	56.36	42.2	42.4
SLC25A12	na	18.15	26.0	55.52	29.53	56.75	34.47	36.39	29.11	40.45	57.53	31.54	40.95	42.29	42.04	39.7	43.41	56.88	52.72	68.3	41.37	35.27	25.96	20.89	22.78	33.93	66.34	26.39	39.21	33.56	27.89	37.15	34.43	27.14	43.6	30.62	23.07	12.44	39.46	58.23	51.19	28.04	63.25	42.2	37.68	56.62	44.12	73.48	28.34	42.79	44.09
32309_at	na	7.51	3.88	5.23	5.55	1.66	3.57	3.34	2.14	2.16	8.01	4.83	9.1	8.25	6.74	6.46	1.41	6.26	9.49	5.32	11.26	5.24	1.64	4.95	2.33	7.28	1.73	4.67	4.12	10.48	12.33	4.86	1.29	11.67	18.24	8.59	11.9	10.18	5.95	1.5	4.04	7.43	2.95	5.92	7.35	3.82	1.88	11.1	3.06	7.48	3.37
GDI2	na	788.54	978.74	1380.79	1133.64	985.43	1084.24	973.86	826.34	1365.26	503.66	846.0	1520.69	1172.89	1011.53	855.81	700.38	772.92	269.47	1363.57	413.06	444.32	1290.91	610.09	928.08	616.48	692.8	1024.95	663.76	493.67	623.19	880.8	1032.99	315.35	658.91	909.34	592.84	1092.87	793.64	931.63	718.73	1004.7	1380.87	663.03	291.6	501.59	378.92	888.14	459.02	320.02	650.56
QDPR	na	133.76	118.62	108.3	126.28	136.35	145.32	122.24	155.51	137.17	121.34	102.05	118.92	169.69	474.72	136.63	475.64	165.22	189.69	124.52	128.93	89.61	139.81	119.27	94.26	115.22	105.09	381.92	116.59	150.76	112.09	186.58	113.83	113.6	140.85	135.67	117.98	142.9	143.15	101.26	403.95	137.66	206.22	123.52	88.95	102.98	187.05	145.0	270.14	595.94	137.02
ZYX	na	460.62	403.25	65.5	159.42	356.43	866.09	340.31	470.15	1278.06	1142.71	285.85	369.16	317.04	417.64	368.77	585.58	638.96	89.26	172.85	242.93	181.4	1008.46	3058.23	637.16	558.61	935.35	389.61	493.11	553.86	1013.26	250.81	26.65	808.73	855.86	227.58	1051.42	849.66	250.5	683.35	348.14	99.77	14.15	437.62	459.91	449.75	320.14	725.3	129.54	316.49	771.52
PSMB8	na	412.07	415.07	600.35	153.23	44.84	675.35	150.85	303.61	133.19	115.44	442.47	16.37	206.16	315.63	363.33	286.03	60.95	10.62	8.23	54.36	171.54	162.46	48.9	249.57	128.86	608.09	173.14	479.93	137.79	290.79	71.65	137.77	204.27	174.58	73.1	318.08	372.62	123.25	335.04	171.62	7.08	474.26	179.13	24.93	577.61	104.18	661.84	154.91	127.22	314.12
ASAHL	na	19.19	6.84	24.84	21.08	57.01	12.32	69.14	29.55	45.31	21.85	31.81	15.78	78.65	28.78	13.1	23.59	53.82	13.01	33.66	22.94	16.49	50.17	15.06	17.1	24.98	13.58	7.65	49.78	19.71	6.05	27.31	117.06	9.69	24.12	66.8	16.21	7.17	45.64	42.89	37.71	98.57	34.44	33.04	29.42	6.86	12.13	109.96	10.98	14.59	13.8
31938_g_at	na	26.36	10.36	10.68	9.6	19.26	16.91	11.8	13.33	11.56	7.4	7.87	18.85	11.86	12.21	10.03	9.43	4.02	7.57	13.59	16.11	12.47	4.98	13.08	18.72	13.72	13.88	10.46	17.48	6.27	2.38	10.54	14.76	4.55	5.81	16.06	7.34	15.83	9.75	13.03	10.32	16.21	24.98	18.79	15.25	5.95	13.99	8.14	11.34	2.46	13.81
LHB	na	258.71	172.34	173.59	178.84	268.34	256.74	294.54	232.3	314.95	248.99	194.36	190.6	211.04	161.77	156.74	196.42	257.51	221.95	225.97	259.91	222.91	320.66	192.87	216.26	256.03	190.76	255.36	244.52	232.2	213.39	238.97	216.45	264.65	276.45	173.25	257.82	196.54	183.89	308.16	256.13	227.28	201.98	151.15	228.67	211.13	357.86	263.23	366.32	251.22	164.02
NFRKB	na	339.5	257.15	306.42	241.13	284.48	346.32	404.34	266.39	355.58	248.19	422.83	410.8	328.71	278.63	353.11	338.61	354.16	454.64	511.05	415.22	252.66	426.4	439.26	326.55	400.86	305.45	236.95	374.15	425.25	357.63	450.91	547.07	322.95	260.52	276.32	394.74	341.17	293.88	413.74	268.26	435.69	325.03	330.87	495.25	302.91	290.75	319.84	295.21	418.25	331.76
ARG1	na	7.02	3.37	3.12	6.14	7.98	2.83	6.89	8.64	3.91	8.13	6.95	3.28	0.98	3.47	2.65	3.17	3.74	6.11	5.07	4.14	10.41	3.42	2.12	3.88	7.48	2.52	4.34	2.67	4.56	5.04	8.38	7.72	4.04	7.68	7.21	7.26	2.43	2.14	7.8	6.81	2.99	6.4	9.16	2.27	2.6	13.28	11.12	8.83	6.56	7.19
PPP2CA	na	193.02	279.41	334.21	238.13	181.72	279.59	262.51	303.04	197.58	158.06	195.87	199.58	287.92	192.38	304.62	240.08	282.48	158.03	265.21	210.24	288.15	205.89	142.64	114.13	155.06	351.65	331.48	149.22	218.54	228.69	236.81	180.42	236.35	180.68	257.45	177.66	227.32	271.61	313.33	131.67	287.06	330.86	239.46	254.27	263.59	176.89	241.42	142.83	166.72	256.47
TIP120B	na	5.41	44.79	3.4	1.98	31.09	2.08	2.88	4.26	13.27	4.7	1.29	55.9	1.89	2.64	7.92	3.31	77.96	2.18	166.63	14.7	2.4	124.9	8.55	11.46	13.69	10.88	9.49	66.3	2.39	17.92	2.11	25.37	3.84	5.09	6.78	3.24	2.19	1.92	2.77	20.58	2.21	45.98	2.65	10.53	24.89	4.5	3.68	2.28	4.72	19.3
DST	na	154.41	291.02	33.64	96.34	194.65	62.43	130.48	457.25	264.71	416.63	104.52	60.64	133.44	165.76	395.25	101.83	75.29	228.82	674.37	80.17	188.94	307.7	149.93	204.83	559.09	293.17	283.69	489.4	678.25	371.47	266.64	140.8	398.65	249.36	189.99	225.32	226.99	182.72	136.59	361.85	231.39	76.01	235.12	96.39	297.02	112.27	177.83	165.81	93.56	219.95
MSX2	na	45.2	21.26	20.92	64.44	52.22	88.08	86.95	33.89	15.07	16.77	37.53	26.12	44.64	46.74	36.2	52.7	41.64	75.64	20.32	20.5	53.88	33.0	31.75	18.81	40.37	16.34	24.94	29.2	40.61	24.52	41.65	206.32	38.74	51.91	33.39	17.57	27.99	46.86	19.43	19.66	95.07	24.13	48.49	54.89	36.1	46.96	24.31	36.25	43.16	50.15
CUGBP2	na	400.81	212.51	321.94	273.87	202.24	163.6	172.52	296.42	245.29	205.43	248.67	194.09	185.64	221.9	179.79	175.83	214.19	292.29	251.83	179.59	593.58	163.11	224.24	370.89	164.32	252.9	202.66	209.65	197.92	145.76	243.5	296.46	182.19	202.78	245.13	214.36	205.59	192.18	182.02	241.52	502.14	362.91	322.04	272.13	235.69	299.71	404.02	257.97	249.27	209.59
FSCN2	na	28.31	11.23	12.65	12.17	18.17	11.92	17.89	14.75	20.22	14.96	14.81	18.94	8.88	13.42	15.36	12.46	26.56	14.14	17.07	28.66	22.07	18.78	23.29	26.86	42.03	19.89	20.17	33.03	19.22	27.44	11.2	12.91	19.02	44.07	19.92	37.24	23.51	26.34	13.74	21.45	10.33	18.38	14.67	28.95	13.89	18.74	31.44	23.11	30.78	11.37
SLCO1B1	na	11.26	12.33	5.26	6.91	6.07	6.67	4.34	4.93	3.19	8.7	2.8	7.82	5.62	6.54	10.55	5.24	4.92	16.7	4.88	8.23	8.21	5.58	1.42	11.43	6.56	5.18	8.05	6.51	10.59	4.35	2.44	11.39	11.65	11.24	9.14	4.36	16.12	3.54	3.04	8.54	4.9	5.85	12.19	11.85	5.4	23.18	12.79	10.18	6.85	6.28
SPHAR	na	64.62	63.1	88.24	108.06	121.59	83.49	83.66	84.09	79.61	58.9	67.25	62.89	65.18	85.86	80.59	8.79	138.74	82.99	136.53	73.21	85.21	65.35	49.19	81.64	53.87	36.93	102.99	72.08	95.39	77.26	72.7	83.66	59.21	77.7	63.27	68.0	78.58	113.92	44.46	119.93	100.59	122.64	107.32	40.91	30.54	20.9	12.15	124.01	78.99	124.73
MC5R	na	65.54	49.7	79.12	54.0	63.62	69.27	64.05	80.8	70.98	74.86	56.14	45.79	60.06	53.7	58.44	75.67	74.09	55.92	64.94	72.22	45.02	67.4	64.02	70.8	81.86	65.04	67.03	80.03	91.19	84.58	73.63	66.34	74.03	91.02	74.76	73.74	60.35	53.25	59.4	87.5	88.99	57.58	69.88	80.81	77.35	92.4	77.47	73.07	66.48	60.94
PDCD1	na	64.12	82.6	64.82	58.9	34.41	67.54	65.21	70.06	61.85	118.88	80.19	77.08	65.66	93.77	75.42	60.23	77.47	95.12	71.98	135.71	68.53	73.37	58.83	115.39	92.35	70.6	67.62	89.95	86.76	78.03	87.56	86.34	64.07	90.0	73.93	96.04	71.68	71.38	83.1	82.0	99.63	124.36	57.66	78.18	96.48	93.67	115.9	89.75	123.95	29.67
MPDU1	na	27.7	68.51	51.62	202.04	165.26	162.53	49.76	30.39	73.37	30.7	31.72	47.43	137.73	130.92	104.15	156.35	35.52	124.34	77.4	28.93	60.9	110.51	48.45	14.18	16.02	89.14	12.1	131.67	110.14	52.42	154.62	56.85	99.92	68.83	159.2	132.84	76.33	128.32	112.91	53.9	141.57	22.04	187.13	25.87	69.28	61.37	116.65	78.47	85.33	26.8
PLA2G10	na	8.61	3.64	5.1	33.52	5.59	5.37	5.84	7.16	5.82	5.01	6.08	5.24	29.3	7.06	5.0	6.21	7.3	5.1	8.72	7.95	9.05	6.33	6.07	7.0	6.32	5.26	7.72	6.9	7.2	4.84	6.66	5.56	5.98	11.1	7.01	4.61	7.34	7.46	6.44	8.6	7.63	6.65	8.84	7.03	5.24	12.16	7.56	9.09	8.69	5.27
DNALI1	na	1.57	2.34	6.52	4.35	16.05	7.85	2.7	3.92	2.76	2.7	3.06	4.98	2.23	3.58	2.37	3.92	4.71	2.07	4.66	3.23	5.02	31.46	3.01	5.0	9.46	12.91	3.34	3.11	7.85	4.95	2.37	128.88	4.02	9.6	3.23	10.46	17.22	2.99	3.05	3.82	4.18	6.74	3.52	4.0	4.31	4.72	5.65	4.51	6.61	6.47
40918_at	na	16.24	5.41	4.63	17.64	6.04	19.88	8.38	8.12	3.55	5.79	15.71	3.67	10.89	4.8	3.09	2.42	7.93	7.75	3.97	9.26	3.02	18.21	7.33	9.08	8.03	5.66	2.56	6.56	4.26	4.21	12.8	12.16	7.98	12.06	5.97	7.51	17.57	7.8	4.19	14.24	11.83	4.74	5.39	5.27	4.57	13.38	8.37	9.26	6.73	20.83
PTPRO	na	17.28	13.78	6.68	11.36	9.88	9.54	10.9	7.55	9.78	14.06	17.38	9.01	12.72	14.59	9.4	18.79	7.18	25.82	8.22	10.98	11.14	16.87	10.63	28.97	26.54	8.41	14.32	9.33	13.82	10.91	7.36	15.32	20.21	10.69	12.9	12.73	7.38	14.77	20.96	10.66	15.86	16.61	12.68	9.05	18.24	18.17	8.89	10.83	19.08	18.23
DNAJA3	na	10.91	5.84	7.28	10.0	5.52	7.78	6.66	8.02	6.62	7.22	6.11	8.75	7.81	6.73	10.6	10.23	9.02	8.16	7.52	10.17	8.38	9.33	8.11	6.47	7.98	7.18	8.59	10.18	10.2	9.7	6.82	7.09	6.27	17.31	9.15	10.15	9.71	5.49	7.0	14.21	7.49	7.09	10.94	9.81	9.15	13.31	9.66	11.36	14.56	8.37
KLK1	na	10.7	6.71	12.97	27.86	3.88	171.99	99.62	15.96	3.79	2.86	7.07	86.82	5.21	9.0	5.2	6.36	20.55	5.16	6.18	9.85	16.0	32.12	8.78	12.54	11.12	5.48	8.53	18.09	2.8	4.58	18.26	7.57	4.55	9.47	6.46	5.96	5.76	7.38	4.62	8.47	6.79	4.57	7.52	7.08	4.05	6.42	8.88	7.88	9.16	5.59
KIAA0073	na	87.79	269.18	435.6	208.52	52.99	135.6	242.06	57.69	79.36	156.52	174.28	245.72	154.0	139.0	217.73	194.64	129.29	93.44	307.36	140.12	344.53	182.13	67.62	123.67	106.49	122.84	178.52	229.67	56.38	98.51	303.48	172.74	101.79	190.21	140.3	152.16	133.99	176.5	181.83	89.81	306.99	485.87	183.22	88.34	107.05	143.41	259.22	80.34	128.5	126.86
PABPN1	na	329.9	364.14	465.15	312.5	189.29	397.87	385.12	243.82	367.68	212.25	245.52	389.31	314.96	226.99	297.43	270.31	443.2	302.8	427.89	270.54	276.44	455.35	399.41	199.11	291.44	279.39	226.1	278.58	409.21	377.44	410.61	201.57	373.24	125.68	223.57	295.78	173.52	295.12	336.74	238.45	420.63	411.09	391.63	237.93	304.34	261.69	471.98	254.1	187.79	160.34
ADRB3	na	25.81	14.33	12.31	11.12	6.19	27.35	21.41	17.66	15.38	29.13	28.99	6.6	14.41	21.12	18.38	36.29	18.95	33.09	14.31	20.78	25.96	21.88	16.7	22.71	30.79	20.78	20.94	23.3	10.17	13.99	17.54	28.04	13.77	24.47	12.15	10.54	9.64	18.17	12.78	28.51	40.21	18.24	23.84	22.72	26.17	25.64	17.99	12.04	13.01	27.58
ATP6V0A2	na	125.97	107.49	141.41	93.46	116.83	104.88	128.49	101.23	94.24	125.36	123.73	166.24	101.13	101.28	98.45	121.59	147.08	94.97	142.64	155.26	82.55	113.67	158.79	84.53	149.9	107.16	122.55	131.92	102.7	101.67	163.9	136.61	87.97	88.03	103.62	112.77	92.13	96.26	111.85	167.26	136.01	149.68	95.0	175.93	121.77	212.96	153.74	103.08	118.25	108.04
LCN2	na	21.71	5.99	7.45	152.09	223.29	2587.06	215.69	32.04	26.68	10.52	2575.06	12.08	112.15	4.46	33.61	10.29	18.06	434.09	6.92	89.97	2607.78	18.58	16.35	28.63	4.81	5.9	15.29	22.52	10.21	11.52	16.8	47.4	8.22	20.68	81.29	20.0	797.26	352.23	10.29	12.69	6.36	10.7	88.97	254.71	10.66	16.26	8.87	5.74	5.04	248.52
SMOX	na	1161.68	273.92	65.45	454.05	990.02	140.17	100.32	435.01	81.46	230.79	264.26	61.99	215.65	88.68	87.49	78.52	105.84	79.97	103.95	105.11	440.26	53.7	152.91	864.44	133.31	121.84	88.61	67.7	175.72	123.6	745.45	42.06	303.39	182.1	861.38	228.32	296.75	255.85	642.46	99.1	78.88	387.96	2236.59	139.94	71.62	133.92	341.47	139.0	124.11	272.26
HOXA2	na	119.08	9.41	7.1	7.07	7.88	3.38	5.84	22.21	15.74	15.07	41.5	3.94	14.94	6.97	3.54	4.56	14.64	2.95	2.05	67.56	17.34	7.91	1.82	26.44	33.11	9.21	8.99	4.47	7.89	11.75	4.44	8.41	5.19	12.01	7.9	16.26	44.72	3.0	5.58	5.52	9.39	3.34	45.32	6.31	14.57	4.44	6.44	5.36	15.4	37.29
TLR5	na	19.74	3.32	5.23	9.93	43.04	4.62	4.49	3.81	14.41	5.06	4.52	11.44	4.75	4.91	11.1	5.7	22.1	91.76	4.78	18.11	3.78	7.45	7.82	12.43	8.49	4.44	7.74	13.51	4.18	15.72	2.92	30.18	2.76	8.82	3.6	3.72	4.05	7.95	7.33	5.25	13.0	24.97	4.59	4.27	5.61	6.06	7.21	4.82	6.67	3.13
OSR1	na	133.24	362.31	369.75	140.5	166.95	157.14	228.8	276.23	262.09	325.36	156.45	249.14	277.18	234.32	346.27	149.28	168.29	144.65	173.91	130.75	127.81	314.16	293.54	167.17	430.79	207.28	307.3	238.85	259.88	257.26	285.57	239.84	223.22	81.48	189.76	136.94	124.16	200.49	299.59	200.05	222.39	358.32	208.94	184.86	211.02	112.55	260.95	108.03	92.48	289.13
41588_at	na	20.47	25.59	30.11	19.54	27.72	41.64	31.93	39.18	29.1	38.23	31.45	36.58	42.53	36.75	50.87	44.53	29.43	31.17	29.61	139.24	37.38	41.99	24.11	36.34	33.75	23.82	27.56	38.36	44.55	39.51	49.26	47.05	20.47	18.99	33.94	28.17	31.75	19.4	36.01	35.15	52.36	38.6	29.33	77.89	27.12	23.17	48.44	33.78	51.17	69.56
KIAA0157	na	67.45	71.76	130.83	71.69	77.17	96.78	101.6	55.96	71.13	60.46	89.81	63.77	88.05	64.34	81.44	79.81	69.04	115.41	141.75	98.83	42.39	76.36	76.08	46.96	56.46	80.57	61.51	77.38	53.97	51.36	114.61	60.28	109.0	41.33	67.17	71.0	79.07	110.08	90.43	73.7	92.23	123.97	75.12	61.27	64.21	63.94	72.43	24.13	17.88	46.95
BCL2A1	na	5.97	4.03	22.25	6.56	12.84	6.71	6.66	12.09	4.78	6.23	5.68	9.61	6.48	534.69	5.69	62.42	8.09	13.84	26.93	13.37	5.43	9.28	12.92	14.9	17.42	9.11	29.48	7.9	14.33	15.48	3.76	6.85	7.64	17.65	13.21	7.9	5.93	11.34	106.21	349.1	5.53	5.58	6.34	16.28	7.79	130.0	29.55	144.94	149.61	8.23
NUP214	na	155.91	220.63	138.31	199.16	128.74	133.22	153.07	89.59	129.22	148.28	150.32	462.7	104.07	146.57	194.09	211.46	148.67	160.37	144.1	246.0	150.08	238.79	172.65	198.09	143.75	154.49	154.08	178.03	150.65	185.96	139.87	275.16	115.6	221.77	199.38	164.43	166.25	138.31	161.8	161.33	170.72	178.01	163.38	156.98	182.72	193.63	129.34	168.2	168.39	129.61
